stock,STT,indicator,2017,2016,2015,2014,2013
PET,3,Lợi nhuận trên cổ phiếu (EPS),-0.21,-0.20,-0.02,0.16,-0.09
PFL,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,0.00,0.00,2.84
PGC,3,Lợi nhuận trên cổ phiếu (EPS),0.38,0.12,0.36,-0.17,0.01
PGI,3,Lợi nhuận trên cổ phiếu (EPS),0.10,0.15,0.06,-0.47,0.32
PHC,3,Lợi nhuận trên cổ phiếu (EPS),0.04,0.07,2.66,41.45,-0.96
PHH,3,Lợi nhuận trên cổ phiếu (EPS),-1.17,0.68,0.19,-0.21,-0.09
PHR,3,Lợi nhuận trên cổ phiếu (EPS),0.46,0.34,-0.20,-0.31,-0.36
PIV,3,Lợi nhuận trên cổ phiếu (EPS),-0.28,0.20,0.58,245.98,-1.05
PNC,3,Lợi nhuận trên cổ phiếu (EPS),-0.89,0.00,-1.96,0.00,0.47
PNJ,3,Lợi nhuận trên cổ phiếu (EPS),0.68,1.94,-0.37,0.44,-0.33
PPC,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.16,-0.55,-0.36,1.64
PPI,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-0.91,-0.17,285.74,-2.34
PSG,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,0.00,0.00,1.88
PTB,3,Lợi nhuận trên cổ phiếu (EPS),0.34,0.51,0.55,0.21,0.37
PTL,3,Lợi nhuận trên cổ phiếu (EPS),-1.29,-0.61,1.14,0.00,-29.50
PV2,3,Lợi nhuận trên cổ phiếu (EPS),-30.55,-95.23,0.00,0.00,-204.44
PVA,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,0.00,0.00,-0.56
PVB,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-1.43,-0.15,4.03,-0.64
PVC,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-1.45,-0.35,1.44,-0.32
PVD,3,Lợi nhuận trên cổ phiếu (EPS),-2.22,-0.93,-0.31,0.24,0.45
PVE,3,Lợi nhuận trên cổ phiếu (EPS),0.96,-0.13,0.34,0.69,0.05
PVG,3,Lợi nhuận trên cổ phiếu (EPS),0.51,-0.27,0.00,-1.06,-0.03
PVI,3,Lợi nhuận trên cổ phiếu (EPS),-0.15,-0.15,1.29,-0.16,-0.15
PVL,3,Lợi nhuận trên cổ phiếu (EPS),-29.49,0.00,-3.19,0.00,6.12
PVR,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,-8.38,0.00,-0.60
PVS,3,Lợi nhuận trên cổ phiếu (EPS),-0.20,-0.34,0.13,-0.13,0.40
PVT,3,Lợi nhuận trên cổ phiếu (EPS),-0.18,0.17,0.07,0.40,1.25
PVV,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-8.77,1.14,0.00,1.04
PVX,3,Lợi nhuận trên cổ phiếu (EPS),-1.54,1.84,-0.56,0.00,-0.22
PXA,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-72.53,-0.10,0.00,-0.23
PXI,3,Lợi nhuận trên cổ phiếu (EPS),-2.66,-0.98,0.05,0.45,1.59
PXL,3,Lợi nhuận trên cổ phiếu (EPS),0.05,0.00,0.00,0.00,-53.50
PXM,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,0.00,0.00,0.38
PXS,3,Lợi nhuận trên cổ phiếu (EPS),-0.62,-0.21,-0.09,0.61,0.16
PXT,3,Lợi nhuận trên cổ phiếu (EPS),-0.80,0.02,0.00,-142.02,-0.75
QBS,3,Lợi nhuận trên cổ phiếu (EPS),0.22,-0.75,0.22,1.84,9.42
QCG,3,Lợi nhuận trên cổ phiếu (EPS),10.64,1.98,-0.59,7.54,-0.37
QNS,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,0.00,0.00,0.00
RDP,3,Lợi nhuận trên cổ phiếu (EPS),-0.44,-0.11,1.63,-0.13,-0.15
REE,3,Lợi nhuận trên cổ phiếu (EPS),1.21,0.30,-0.20,0.09,0.47
ROS,3,Lợi nhuận trên cổ phiếu (EPS),0.41,0.00,0.00,0.00,0.00
S96,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,-61.50,-1.02,-0.88
S99,3,Lợi nhuận trên cổ phiếu (EPS),-1.37,-0.39,0.19,6.94,0.29
SAB,3,Lợi nhuận trên cổ phiếu (EPS),0.10,1.87,0.00,0.00,0.00
SAM,3,Lợi nhuận trên cổ phiếu (EPS),-0.24,-0.58,-0.27,-0.38,0.11
SBA,3,Lợi nhuận trên cổ phiếu (EPS),1.46,0.24,-0.21,-0.02,2.56
SBS,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-0.88,-0.64,-0.97,-4.28
SBT,3,Lợi nhuận trên cổ phiếu (EPS),0.12,0.06,1.36,-0.50,-0.79
SCJ,3,Lợi nhuận trên cổ phiếu (EPS),-13.08,-1.31,-0.73,2.06,-1.64
SCR,3,Lợi nhuận trên cổ phiếu (EPS),-0.47,-0.02,5.64,2.34,-0.91
SCR,3,Lợi nhuận trên cổ phiếu (EPS),-0.47,-0.02,5.64,2.34,-0.91
