Industry,Stock,+/-,EPS,PE,ROA,ROE,Giá SS,P/B,Beta,totalVolume,NN,von
vantai,PGT,3.9(0),"-1,264",-3.1,-18%,-19%,6.8,58%,0.6,"9,241,801","4,528,482(49%)",36
vantai,PTS,6.1(0.2),945,6.2,3%,6%,15.7,37%,0.9,"5,568,000","2,728,320(49%)",33
vantai,VNA,1.5(0),"-6,889",-0.2,-16%,1000%,-0.5,-331%,0.3,"20,000,000","9,800,000(49%)",30
vantai,PRC,17(0),"2,933",5.8,5%,12%,25.2,67%,-0.4,"1,200,000","588,000(49%)",20
vantai,GTT,0.4(0),"-6,430",-0.1,-34%,48%,-13.5,-3%,0.2,"43,503,000","21,306,095(49%)",17
vantai,HDO,0.8(0),"-3,253",-0.3,-24%,-68%,4.8,19%,0.5,"14,819,879","7,330,340(49%)",13
vantai,VSG,1.1(0),0,0,-14%,16%,-21.8,-5%,1.4,"11,044,000","5,229,260(47%)",12
vantai,DDM,0.7(0),"-9,611",-0.1,-14%,20%,-48.1,-1%,0.7,"12,244,495","5,974,325(49%)",9
vlxd,VCS,232.5(-4.5),"13,163",18,29%,49%,26.6,891%,0.5,"80,000,000","25,969,632(32%)","18,960"
vlxd,VGC,26.8(0.6),"2,156",12.2,5%,13%,20.9,126%,1.7,"307,000,000","117,293,600(38%)","8,043"
vlxd,HT1,15.6(-0.5),"1,319",12.1,4%,10%,13.2,122%,1,"381,541,911","155,820,000(41%)","6,105"
vlxd,CTI,30.4(0.6),"2,185",13.6,3%,10%,22.4,133%,0.3,"60,999,997","16,169,998(27%)","1,818"
vlxd,CVT,53.8(0.7),"6,811",7.8,17%,39%,17.4,306%,0.7,"28,223,903","19,199,968(68%)","1,499"
vlxd,NNC,51.5(0),"8,700",5.9,33%,39%,22.4,230%,0.2,"21,920,000","8,055,698(37%)","1,129"
vlxd,MVC,10.4(-0.6),619,17.8,4%,6%,11,100%,0,"100,000,000",0(0%),"1,100"
vlxd,VHL,55.9(2.9),"5,119",10.4,10%,24%,21.6,245%,0.5,"25,000,000","7,840,000(31%)",848
vlxd,BCC,7.6(0),219,34.7,0%,1%,15.9,48%,0.6,"110,010,054","46,874,084(43%)",836
vlxd,BTS,4.8(0),350,13.7,1%,3%,12.2,39%,0.1,"119,961,769","53,437,534(45%)",576
vlxd,VTV,16(-0.5),"4,107",4,7%,25%,16.5,100%,0.2,"31,199,825","15,287,914(49%)",515
vlxd,DHA,33.3(0.3),"4,441",7.4,17%,18%,24,137%,0.4,"15,061,213","7,408,773(49%)",499
vlxd,HOM,4.1(0),241,17,1%,2%,13.3,31%,0,"69,228,600","35,280,000(51%)",295
vlxd,VIT,17.5(-0.1),"3,030",5.8,5%,29%,10.3,170%,0.2,"19,500,000","7,350,000(38%)",264
vlxd,CCM,33(-0.1),"8,090",4.1,12%,26%,31.7,104%,0.2,"6,199,900","2,254,000(36%)",205
vlxd,ACC,20.3(-0.1),"2,822",7.2,9%,14%,0,0%,0.1,"10,000,000","4,900,000(49%)",204
vlxd,PX1,10(0),0,0,4%,29%,0,0%,0,"20,000,000","9,800,000(49%)",200
vlxd,CQT,7.4(0),"-1,549",-4.8,-4%,-38%,4,183%,0,"25,000,000",0(0%),185
vlxd,CLH,16.9(0),"1,745",9.7,4%,13%,13.4,126%,0.4,"10,000,000","4,900,000(49%)",169
vlxd,DIC,6.2(-0.0),675,9.3,1%,6%,11.1,57%,0,"26,585,840","13,027,061(49%)",167
vlxd,HVX,4.5(0),208,21.5,1%,2%,10.4,43%,-0.1,"43,440,000","19,580,401(45%)",166
vlxd,GMX,26.9(0),"4,060",6.6,19%,26%,15.7,172%,1.2,"5,320,694","2,607,140(49%)",143
vlxd,DTC,13(0),"2,541",5.1,9%,42%,15.2,86%,0.4,"10,000,000","1,609,172(16%)",130
vlxd,TTC,19.2(0),"3,093",6.2,9%,17%,18.4,104%,0.5,"5,992,348","2,936,250(49%)",115
vlxd,HCC,17.6(0.1),"3,688",4.7,14%,26%,14.1,124%,0.3,"6,518,586","1,798,555(28%)",114
vlxd,YBC,19.5(0),0,0,0%,6%,7.3,265%,0.9,"5,837,430","2,856,540(49%)",114
vlxd,BTD,16.7(-0.1),0,0,10%,23%,0,0%,0,"6,414,100",0(0%),108
vlxd,TLT,15.4(2),"1,898",6.8,10%,55%,7.7,168%,0.7,"6,989,800","3,380,602(48%)",91
