stock,STT,indicator,2017,2016,2015,2014,2013
PVC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,-0.03,0.17,0.34,0.19
PVD,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.02,0.01,0.13,0.22,0.20
PVE,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.12,0.10,0.10,0.08,0.05
PVG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.03,0.00,0.06,-0.01,0.07
PVI,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.09,0.08,0.09,0.04,0.05
PVL,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.67,0.02,-0.07,0.01,-0.56
PVR,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.01,-0.02,-0.05,0.00,-0.01
PVS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.07,0.08,0.13,0.18,0.21
PVT,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.10,0.14,0.10,0.13,0.11
PVV,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.25,-0.28,0.02,0.01,-0.55
PVX,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.05,0.03,0.01,0.01,-2.06
PXA,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.52,-0.85,0.00,0.00,-1.03
PXI,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.13,-0.05,0.10,0.07,0.01
PXL,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,0.02,-0.01,-0.03,-0.01
PXM,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.23,0.22,0.13,0.44,1.35
PXS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.05,0.11,0.14,0.19,0.12
PXT,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.12,0.39,0.69,-7.84,-0.20
QBS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.06,0.02,0.10,0.15,0.24
QCG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.11,0.01,0.01,0.01,0.00
QNS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.30,0.36,0.47,0.45,0.34
RDP,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.08,0.12,0.20,0.09,0.13
REE,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.21,0.15,0.13,0.17,0.19
ROS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.08,0.10,0.04,0.01,-0.07
S96,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.01,-0.15,-0.09,0.00,-0.06
S99,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.03,0.03,0.06,0.14,0.02
SAB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.30,0.37,0.26,0.22,0.22
SAM,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.01,0.02,0.03,0.05
